Region/State/Union Territory,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
NORTHERN REGION,"34,091","48,950","71,988","81,164","82,715","97,210","97,832","1,23,045","1,34,537","1,46,585","1,84,052","1,99,921","2,27,335","2,58,480","3,13,415","3,51,103","4,11,992","4,63,244","5,41,806","6,41,104","8,16,854","9,16,506"
Chandigarh,"1,718","2,323","3,656","4,040","3,695","3,953","3,967","5,048","5,835","6,023","6,280","7,606","8,094","9,084","10,277","11,386","13,326","14,834","17,210","19,101","21,917","24,561"
Delhi,"14,091","21,249","31,238","34,343","34,010","43,665","38,813","50,057","58,029","57,950","73,139","71,735","78,604","84,590","99,334","1,00,540","1,16,885","1,23,903","1,38,550","1,62,936","1,88,839","2,11,649"
Haryana,"3,590","5,332","9,972","9,963","10,122","12,346","14,420","20,628","19,507","23,132","31,847","37,572","42,038","49,651","61,872","70,184","83,109","94,627","1,11,133","1,36,227","1,92,008","2,19,486"
Himachal Pradesh,999,"1,346","1,939","2,417","2,210","2,916","3,295","3,885","4,146","4,382","5,659","5,961","6,445","7,889","9,502","11,112","12,446","14,569","17,174","20,603","24,089","27,637"
Jammu & Kashmir,"1,271","1,613","2,140","2,806","3,592","3,768","4,193","4,750","5,656","7,185","8,673","10,568","13,387","14,752","19,046","24,751","28,313","34,569","40,853","48,452","56,436","60,217"
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,054","1,342","1,813","2,323","2,726","2,965"
Punjab,"6,239","8,711","11,216","12,930","12,241","13,401","14,041","17,888","18,631","20,502","26,670","28,494","31,207","35,641","42,867","48,503","56,495","64,554","76,984","89,642","1,19,903","1,31,727"
Rajasthan,"6,183","8,376","11,828","14,666","16,846","17,161","19,104","20,788","22,733","27,412","31,783","37,986","47,560","56,874","70,516","84,627","1,00,363","1,14,845","1,38,089","1,61,820","2,10,937","2,38,265"
NORTH EASTERN REGION,"2,760","4,586","6,802","8,060","9,437","11,430","13,567","14,468","16,300","16,321","20,120","22,149","26,046","30,177","38,029","45,137","53,636","64,210","75,242","90,693","1,09,587","1,22,538"
Arunachal Pradesh,94,145,200,253,391,456,623,713,819,880,991,"1,187","1,428","1,661","2,334","2,473","2,900","3,678","4,366","5,286","6,364","7,222"
Assam,1798,"2,809","3,971","5,333","6,059","7,355","8,598","9,129","10,441",9715,"12,772","13,239","15,589","18,214","22,852","27,327","31,826","37,876","44,357","53,654","65,507","74,641"
Manipur,128,208,332,417,522,585,757,734,695,806,927,"1,120","1,504","1,884","2,669","3,306","4,292","5,262","6,369","8,322","9,102","10,117"
Meghalaya,287,742,"1,251",596,707,814,946,"1,050","1,087",1170,"1,333","1,830","1,982","2,474","3,098","3,552","4,318","5,056","5,760","6,693","7,975","8,728"
Mizoram,153,229,318,434,536,672,783,767,886,906,"1,079","1,199","1,528","1,682","1,872","2,106","2,671","3,229","3,863","4,586","5,344","5,980"
Nagaland,81,144,225,368,491,652,866,838,948,1063,"1,209","1,404","1,659","1,917","2,276","2,757","3,380","4,235","4,947","5,961","6,932","7,635"
Tripura,220,311,504,660,731,896,994,"1,238","1,424",1780,"1,809","2,170","2,356","2,345","2,927","3,617","4,248","4,873","5,581","6,189","8,364","8,216"
